,disposets,number_occurrences,average_days_occurrences,std_days_occurrences,batch_means,maxim_service_disposet,sds-psg_x,coefficient_variation,disposet_classification,probability_disposet,prob_superdisposet,lambda_rate,kmin,kmax,stock
596,AZNYV5,34.0,60.55882352941177,134.53313012639035,-11.382352941176473,721.0,V04,2.2215281322473395,overdispersion,0.0223831468071099,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
597,I0B0T1,74.0,29.527027027027028,85.83118553427093,-1.7702702702702702,722.0,V04,2.906868526103455,overdispersion,0.0487162606978275,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
598,I0CYS2,106.0,19.81132075471698,70.93392139134336,-1.6320754716981132,722.0,V04,3.580474127372569,overdispersion,0.0697827518104015,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,stock model accepted
599,I0DLDT,54.0,40.46296296296296,99.0800539611379,-1.3333333333333333,722.0,V04,2.4486603724949414,overdispersion,0.0355497037524687,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
600,I0CS7T,23.0,91.04347826086956,150.96130698140368,-1.0,722.0,V04,1.658123238095647,overdispersion,0.0151415404871626,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
601,I0JCN5,18.0,119.5,164.77444476331524,-1.0,722.0,V04,1.3788656465549394,overdispersion,0.0118499012508229,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
602,B2LN0R,38.0,54.63157894736842,117.41067244013615,-1.0,722.0,V04,2.149135622699988,overdispersion,0.0250164581961816,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
603,I03ZJP,30.0,66.93333333333334,138.95197218720085,-8.833333333333334,722.0,V04,2.075975680087662,overdispersion,0.0197498354180381,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
604,I097LH,31.0,67.35483870967742,127.25814928380731,-1.0,722.0,V04,1.889369074615913,overdispersion,0.0204081632653061,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,understock
605,I0L7ZB,234.0,9.128205128205128,48.32046784824854,-11.034188034188034,724.0,V04,5.29353439910588,overdispersion,0.1540487162606978,0.0674917709019091,102.51999999999995,89.5440135233902,115.4959864766097,overstock
